$$Component_Title,$$Component_Description,$$Component_Type,$$Rule_Id,$$Rule_Description,$Parameter_Id,$Parameter_Description,$Parameter_Value_Alternatives,$Parameter_Value_Default,$$Profile_Source,$$Profile_Description,$$Control_Id_List,Check_Id,Check_Description,$$Namespace
A human readable name for the component.,A description of the component including information about its function.,A category describing the purpose of the component. ALLOWED VALUES interconnection:software:hardware:service:physical:process-procedure:plan:guidance:standard:validation,A textual label that uniquely identifies a policy (desired state) that can be used to reference it elsewhere in this or other documents.,A description of the policy (desired state) including information about its purpose and scope.,A textual label that uniquely identifies the parameter associated with that policy (desired state) or controls implemented by the policy (desired state).,A description of the parameter including the purpose and use of the parameter.,ONLY for the policy (desired state) parameters: A value or set of values the parameter can take. The catalog parameters values are defined in the catalog. ,"A value recommended by Compliance Team in this profile for the parameter of the control or policy (desired state). If a CIS-benchmark exists, the default default could be the CIS-benchmark recommended value.",A URL reference to the source catalog or profile for which this component is implementing controls for. A profile designates a selection and configuration of controls from one or more catalogs.,A description of the profile.,A list of textual labels that uniquely identify the controls or statements that the component implements.,A textual label that uniquely identifies a check of the policy (desired state) that can be used to reference it elsewhere in this or other documents.,A description of the check of the policy (desired state) including the method (interview or examine or test) and procedure details.,"A namespace qualifying the property name. This allows different organizations to associate distinct semantics with the same name. Used in conjunction with ""class"" as the ontology concept. "
Hello World,Hello World Application,service,Test-rule_002,Ensure hello-world disables inactive accounts 1,,,,,profiles/fedramp_rev4_moderate/profile.json,"This is a partial implementation of the FedRAMP Moderate profile, focusing on the control enhancement AC-2 (3).",ac-2.1,,,http://ibm.github.io/compliance-trestle/schemas/oscal/cd
Hello World,Hello World Application,service,Test-rule_003,Ensure hello-world disables inactive accounts 2,,,,,profiles/fedramp_rev4_moderate/profile.json,"This is a partial implementation of the FedRAMP Moderate profile, focusing on the control enhancement AC-2 (3).",ac-2.2,,,http://ibm.github.io/compliance-trestle/schemas/oscal/cd
Hello World,Hello World Application,service,Test-rule_004,Ensure hello-world disables inactive accounts 3,,,,,profiles/fedramp_rev4_moderate/profile.json,"This is a partial implementation of the FedRAMP Moderate profile, focusing on the control enhancement AC-2 (3).",at-1,,,http://ibm.github.io/compliance-trestle/schemas/oscal/cd
Hello World,Hello World Application,service,Test-rule_005,Ensure hello-world disables inactive accounts 4,,,,,profiles/fedramp_rev4_moderate/profile.json,"This is a partial implementation of the FedRAMP Moderate profile, focusing on the control enhancement AC-2 (3).",cp-2.1,,,http://ibm.github.io/compliance-trestle/schemas/oscal/cd
Hello World,Hello World Application,service,Test-rule_006,Ensure hello-world disables inactive accounts 5,,,,,profiles/fedramp_rev4_moderate/profile.json,"This is a partial implementation of the FedRAMP Moderate profile, focusing on the control enhancement AC-2 (3).",ps-1,,,http://ibm.github.io/compliance-trestle/schemas/oscal/cd
Hello World,Hello World Application,service,Test-rule_007,Ensure hello-world disables inactive accounts 6,,,,,profiles/fedramp_rev4_moderate/profile.json,"This is a partial implementation of the FedRAMP Moderate profile, focusing on the control enhancement AC-2 (3).",ps-2,,,http://ibm.github.io/compliance-trestle/schemas/oscal/cd
Hello World,Hello World Application,service,Test-rule_008,Ensure hello-world disables inactive accounts 7,,,,,profiles/fedramp_rev4_moderate/profile.json,"This is a partial implementation of the FedRAMP Moderate profile, focusing on the control enhancement AC-2 (3).",ra-1,,,http://ibm.github.io/compliance-trestle/schemas/oscal/cd
Hello World,Hello World Application,service,Test-rule_009,Ensure hello-world disables inactive accounts 8,,,,,profiles/fedramp_rev4_moderate/profile.json,"This is a partial implementation of the FedRAMP Moderate profile, focusing on the control enhancement AC-2 (3).",ra-2,,,http://ibm.github.io/compliance-trestle/schemas/oscal/cd
Hello World,Hello World Application,service,Test-rule_010,Ensure hello-world disables inactive accounts 9,,,,,profiles/fedramp_rev4_moderate/profile.json,"This is a partial implementation of the FedRAMP Moderate profile, focusing on the control enhancement AC-2 (3).",sa-1,,,http://ibm.github.io/compliance-trestle/schemas/oscal/cd
